split,config_key,protocol,tau,policy_value
dev,intersection_laplace,blind,0.01835734988019085,0.0038309339959419634
dev,intersection_laplace,blind,0.024111353037783657,0.003907037566074383
dev,intersection_laplace,blind,0.029541470763922262,0.0029500478580827623
dev,intersection_laplace,blind,0.038639395086102694,0.00232789060538839
dev,intersection_laplace,blind,0.05780390431398005,0.0012579965273788356
dev,intersection_laplace,conditioned,-0.05197423462117368,0.029579761984019445
dev,intersection_laplace,conditioned,-0.032470860719587574,0.029190825748032535
dev,intersection_laplace,conditioned,-0.021447878426740834,0.02829012706829089
dev,intersection_laplace,conditioned,-0.010020171757635227,0.02609557691132387
dev,intersection_laplace,conditioned,-0.0061232177354298796,0.025465540330985498
dev,intersection_laplace,conditioned,-0.0024242217806513923,0.02347246844753576
dev,intersection_laplace,conditioned,0.0,0.022428408778946977
dev,intersection_laplace,conditioned,0.0005909674656251148,0.021999661545021032
dev,intersection_laplace,conditioned,0.0025468334050176814,0.021850418054198024
dev,intersection_laplace,conditioned,0.005056344611793725,0.02286854320932705
dev,intersection_laplace,conditioned,0.009104448889667556,0.021316771410102006
dev,intersection_laplace,conditioned,0.013476301343676661,0.019062684200774165
dev,intersection_laplace,conditioned,0.016814357011960244,0.01624340514964818
dev,intersection_laplace,conditioned,0.019963167755331704,0.014995004643093456
dev,intersection_laplace,conditioned,0.02405269297825058,0.011390924827432184
dev,intersection_laplace,conditioned,0.02861373739534586,0.012051354848479029
dev,intersection_laplace,conditioned,0.03587418753256861,0.012975899683644406
dev,intersection_laplace,conditioned,0.042179817403539814,0.010353752344753301
dev,intersection_laplace,conditioned,0.05851367353894874,0.009004923617204529
dev,intersection_laplace,conditioned,0.07716662958115934,0.005726962207253076
dev,team_laplace,blind,-0.2897029625489414,-0.0054780262344309525
dev,team_laplace,blind,-0.19531617717545596,0.005484930610395151
dev,team_laplace,blind,-0.12770952934711205,0.015204590432883056
dev,team_laplace,blind,-0.03722795654528437,0.014941416353828106
dev,team_laplace,blind,-0.01998715296947165,0.013738713387785286
dev,team_laplace,blind,-0.013051401332273022,0.014155326919122175
dev,team_laplace,blind,-0.005872528848483943,0.013082311771880123
dev,team_laplace,blind,-0.0018830124487846716,0.012240729128305441
dev,team_laplace,blind,0.0,0.012085888219477614
dev,team_laplace,blind,0.0010638109796630418,0.012176084154078205
dev,team_laplace,blind,0.002696528852065461,0.012695291432841071
dev,team_laplace,blind,0.005692998271287322,0.011772962736672369
dev,team_laplace,blind,0.008014190675311617,0.010370829612670647
dev,team_laplace,blind,0.011009115989293454,0.009321522539872734
dev,team_laplace,blind,0.013297994773416703,0.007256382942012859
dev,team_laplace,blind,0.018009398795590853,0.005930648445148827
dev,team_laplace,blind,0.02188618244612092,0.00635378118779592
dev,team_laplace,blind,0.02811983958951029,0.005674769885861388
dev,team_laplace,blind,0.03638636441916042,0.0053437545101470705
dev,team_laplace,blind,0.056784553625254496,0.004619664673147531
dev,team_laplace,conditioned,-0.09353448012587125,0.021147970822537582
dev,team_laplace,conditioned,-0.05369289394875867,0.02021296696042566
dev,team_laplace,conditioned,-0.03236958748806064,0.016404275376594925
dev,team_laplace,conditioned,-0.017183821608854725,0.01707858225581788
dev,team_laplace,conditioned,-0.007801794680166316,0.016717405855468822
dev,team_laplace,conditioned,-0.004641669457440774,0.01635110448333537
dev,team_laplace,conditioned,0.0,0.016408859702486976
dev,team_laplace,conditioned,0.0004325366602935337,0.0165338452239769
dev,team_laplace,conditioned,0.00303198347895224,0.01723087763524728
dev,team_laplace,conditioned,0.004782998245979453,0.017217666844962905
dev,team_laplace,conditioned,0.008957725068948649,0.01893047694128509
dev,team_laplace,conditioned,0.013465509937565524,0.01608396669540286
dev,team_laplace,conditioned,0.016672845604508425,0.014983599789463987
dev,team_laplace,conditioned,0.019503390592069354,0.01312426068939759
dev,team_laplace,conditioned,0.024351381738989614,0.01119873833880529
dev,team_laplace,conditioned,0.02765740601426756,0.011227194511778303
dev,team_laplace,conditioned,0.03307475978197347,0.00989047561693341
dev,team_laplace,conditioned,0.03945095846559458,0.007495900026309453
dev,team_laplace,conditioned,0.05033153347763312,0.006347157364728682
dev,team_laplace,conditioned,0.07633411506575108,0.003998864080091255
eval,backoff_eb,blind,-0.02183219653535664,0.00306761218000896
eval,backoff_eb,blind,-0.013156662246200868,0.002503792544705185
eval,backoff_eb,blind,-0.009135760643886864,0.0016061063837166409
eval,backoff_eb,blind,-0.00606881741702327,0.0004482988137096616
eval,backoff_eb,blind,-0.0030654147499856433,0.0009336199368064727
eval,backoff_eb,blind,-0.001616048423370128,0.001169858753082141
eval,backoff_eb,blind,0.0,0.0014215477522294127
eval,backoff_eb,blind,0.00024356286843029538,0.0014751145063932217
eval,backoff_eb,blind,0.0019691922363057886,0.0013854031511886635
eval,backoff_eb,blind,0.0029846266977929335,0.0010289833997961266
eval,backoff_eb,blind,0.004473455923573453,0.0015435780599788206
eval,backoff_eb,blind,0.006087786421791888,0.0019229077102251389
eval,backoff_eb,blind,0.008312265306541906,0.0015025441558217283
eval,backoff_eb,blind,0.009956423240059915,0.0014151842263176214
eval,backoff_eb,blind,0.012085398961323376,0.0002643855185664479
eval,backoff_eb,blind,0.01390935516617431,0.0014215772363109205
eval,backoff_eb,blind,0.019218843827488542,0.0008085754386444188
eval,backoff_eb,blind,0.02411164427135259,0.0010911930333729366
eval,backoff_eb,blind,0.03179767039029366,0.0012532422066333904
eval,backoff_eb,blind,0.05106084739365191,-0.0008396346440267324
eval,backoff_eb,conditioned,-0.01758728459761531,-0.0014316604973458166
eval,backoff_eb,conditioned,-0.010344370903935429,-0.0025812836981673336
eval,backoff_eb,conditioned,-0.006106290493602041,-0.0038704326863040275
eval,backoff_eb,conditioned,-0.0029681170567372145,-0.003944829316931454
eval,backoff_eb,conditioned,0.0,-0.002935542818626866
eval,backoff_eb,conditioned,0.00026687968511052986,-0.002747057656284852
eval,backoff_eb,conditioned,0.001076708771975455,-0.0029842385404448414
eval,backoff_eb,conditioned,0.0023774472511462748,-0.0030100254866121403
eval,backoff_eb,conditioned,0.003814905497605422,-0.0028346029517413982
eval,backoff_eb,conditioned,0.0052433661548697075,-0.0010710240917364557
eval,backoff_eb,conditioned,0.006253469474798918,2.2736714975019196e-05
eval,backoff_eb,conditioned,0.008162507796537785,-0.0001006625714388924
eval,backoff_eb,conditioned,0.010464312941254172,0.00023937923131725895
eval,backoff_eb,conditioned,0.011664378793675068,0.00039969141309584803
eval,backoff_eb,conditioned,0.01309951554803543,0.0006115055788102462
eval,backoff_eb,conditioned,0.015749771637046488,0.0007251616773293845
eval,backoff_eb,conditioned,0.019845186797151308,0.0010194664998869202
eval,backoff_eb,conditioned,0.025798120675484634,0.004103169275737887
eval,backoff_eb,conditioned,0.03270940660472828,0.002748356299034914
eval,backoff_eb,conditioned,0.05165429977937338,0.001050412954397537
eval,intersection_laplace,blind,-0.2827274720453597,-0.01313664535781247
eval,intersection_laplace,blind,-0.18328508850783531,0.0019139605550909761
eval,intersection_laplace,blind,-0.04859389004143199,0.005322983853481523
eval,intersection_laplace,blind,-0.0249931564963442,0.0083392465290562
eval,intersection_laplace,blind,-0.011750646190414906,0.009270872780351184
eval,intersection_laplace,blind,-0.008462484819898183,0.00921204928589526
eval,intersection_laplace,blind,-0.004961458978742685,0.008270792241896217
eval,intersection_laplace,blind,-0.001992684219862269,0.007985634841586478
eval,intersection_laplace,blind,0.0,0.007259164744960004
eval,intersection_laplace,blind,0.0006728708661955702,0.0073268577999355804
eval,intersection_laplace,blind,0.0021882491260144543,0.008490388913445137
eval,intersection_laplace,blind,0.00467377658708613,0.006710137750710075
eval,intersection_laplace,blind,0.008133092801843619,0.005323796088446924
eval,intersection_laplace,blind,0.010481314549914826,0.0031615059598157154
eval,intersection_laplace,blind,0.014580533259416831,0.0027152436069357933
eval,intersection_laplace,blind,0.016514679691728013,0.002591985020430843
eval,intersection_laplace,blind,0.020444634196352812,0.0019402311431552896
eval,intersection_laplace,blind,0.025682983913311582,0.0031460929362468384
eval,intersection_laplace,blind,0.032508549371865425,0.005007702173974047
eval,intersection_laplace,blind,0.042097036387052894,0.0035330712345976326
eval,intersection_laplace,conditioned,-0.0404526942680662,0.015498299488619943
eval,intersection_laplace,conditioned,-0.023972085734934905,0.016234152150064258
eval,intersection_laplace,conditioned,-0.01215646197087993,0.015598104920369296
eval,intersection_laplace,conditioned,-0.005439705199958644,0.015969508912545352
eval,intersection_laplace,conditioned,-0.0016890816349443179,0.01690678021416592
eval,intersection_laplace,conditioned,0.0,0.015078009597620174
eval,intersection_laplace,conditioned,0.00036477510007036694,0.015273604635617243
eval,intersection_laplace,conditioned,0.0030599191805080438,0.016232716902416556
