experiment_id,ticket_id,expected_team,expected_class,baseline_cosine,feedback_cosine,delta_cosine,baseline_rouge,feedback_rouge,delta_rouge,baseline_top1_faiss,top5_faiss_mean,retrieval_margin,top5_spread,retrieval_overlap,gate_active
baseline_dev_conditioned_continuous,R-1091,(GI-UX) File & Print,onboarding,0.6525070071220398,0.6525070071220398,0.0,0.47058823529411764,0.47058823529411764,0.0,0.9868484139442444,0.9852932095527649,0.0014588236808776855,0.002531290054321289,5,False
baseline_dev_conditioned_continuous,R-109,(GI-UX) Application,absence,0.7751538753509521,0.7751538753509521,0.0,0.5285714285714286,0.5285714285714286,0.0,0.7522178888320923,0.713605523109436,0.0233917236328125,0.06951725482940674,5,False
baseline_dev_conditioned_continuous,R-1093,(GI-IaaS) Backend Application Srv. & Project Support,offboarding,0.8470867872238159,0.8470867872238159,0.0,0.717948717948718,0.717948717948718,0.0,0.9777603149414062,0.9727632403373718,0.002710580825805664,0.008188486099243164,5,False
baseline_dev_conditioned_continuous,R-1106,"(GI-IaaS) Network Cloud (Azure, Remote Access)",vpn_access,0.46300768852233887,0.46300768852233887,0.0,0.1357142857142857,0.1357142857142857,0.0,0.5596339702606201,0.5480856895446777,0.006425976753234863,0.020701885223388672,5,False
baseline_dev_conditioned_continuous,R-1105,(GI-SaaS) Salesforce,absence,0.5292282700538635,0.5292282700538635,0.0,0.4444444444444444,0.4444444444444444,0.0,0.5724667310714722,0.5410593748092651,0.01042473316192627,0.05256444215774536,5,False
baseline_dev_conditioned_continuous,R-1115,(GI-SaaS) Salesforce,enterprise_systems,0.3504559099674225,0.3504559099674225,0.0,0.13978494623655913,0.13978494623655913,0.0,0.48708295822143555,0.3949054181575775,0.05807405710220337,0.13861173391342163,5,False
baseline_dev_conditioned_continuous,R-1109,(GI-UX) Group,software_support,0.3446728587150574,0.3446728587150574,0.0,0.1564245810055866,0.1564245810055866,0.0,0.979118287563324,0.790088951587677,0.22015011310577393,0.24373465776443481,5,False
baseline_dev_conditioned_continuous,R-1143,(GI-UX) Account Management,offboarding,0.9979963302612305,0.9979963302612305,0.0,0.9821428571428571,0.9821428571428571,0.0,0.9750943183898926,0.9733783602714539,0.0013151168823242188,0.0030664801597595215,5,False
baseline_dev_conditioned_continuous,R-1120,(GI-SaaS) Salesforce,absence,0.8101468086242676,0.8101468086242676,0.0,0.43478260869565216,0.43478260869565216,0.0,0.7324554920196533,0.7005656361579895,0.015420675277709961,0.055561065673828125,5,False
baseline_dev_conditioned_continuous,R-1133,(GI-UX) Account Management,email_support,0.6818854808807373,0.6818854808807373,0.0,0.38636363636363635,0.38636363636363635,0.0,0.8798789978027344,0.5587689876556396,0.3964005708694458,0.4099631905555725,5,False
baseline_dev_conditioned_continuous,R-1150,(GI-UX) Group,hardware_support,0.7371147274971008,0.7371147274971008,0.0,0.37190082644628103,0.37190082644628103,0.0,0.41385617852211,0.3870985507965088,0.0,0.07293567061424255,5,False
baseline_dev_conditioned_continuous,R-115,(LF) IT Office Access Italy,offboarding,0.9144730567932129,0.9144730567932129,0.0,0.8235294117647058,0.8235294117647058,0.0,0.8604562282562256,0.8406078219413757,0.01425325870513916,0.0418398380279541,5,False
baseline_dev_conditioned_continuous,R-1180,(GI-SaaS) Salesforce,other,0.7370595335960388,0.7370595335960388,0.0,0.2716049382716049,0.2716049382716049,0.0,0.6082023978233337,0.5529550313949585,0.03312993049621582,0.11004030704498291,5,False
baseline_dev_conditioned_continuous,R-1193,(GI-SaaS) Salesforce,absence,0.7124205231666565,0.7124205231666565,0.0,0.45517241379310347,0.45517241379310347,0.0,0.7275980710983276,0.6866075396537781,0.029122352600097656,0.06979560852050781,5,False
baseline_dev_conditioned_continuous,R-1163,(GI-CF) Robot Process Automation,admin_rights,0.49435365200042725,0.49435365200042725,0.0,0.1610738255033557,0.1610738255033557,0.0,1.0,0.8858383297920227,0.001561880111694336,0.21196770668029785,5,False
baseline_dev_conditioned_continuous,R-1196,(GI-UX) Group,software_license,0.5867666006088257,0.5867666006088257,0.0,0.12121212121212122,0.12121212121212122,0.0,0.8422582149505615,0.7330206036567688,0.10508924722671509,0.15526843070983887,5,False
baseline_dev_conditioned_continuous,R-1203,(GI-UX) File & Print,hardware_support,0.8363890647888184,0.8363890647888184,0.0,0.46530612244897956,0.46530612244897956,0.0,1.0,0.5968816876411438,0.455402672290802,0.5577958822250366,5,False
baseline_dev_conditioned_continuous,R-120,(GI-UX) Network Access,vpn_access,0.7279424667358398,0.7279424667358398,0.0,0.295774647887324,0.295774647887324,0.0,0.996056079864502,0.6994321942329407,0.05776941776275635,0.5124127268791199,5,False
baseline_dev_conditioned_continuous,R-1210,(GI-IaaS) Development Platform,software_license,0.8510138988494873,0.8510138988494873,0.0,0.3304843304843305,0.3304843304843305,0.0,1.0,0.9612312316894531,0.0,0.08138453960418701,5,False
baseline_dev_conditioned_continuous,R-1218,(GI-UX) Group,other,0.6618025302886963,0.6618025302886963,0.0,0.32,0.32,0.0,0.992637038230896,0.9908877611160278,0.0007635951042175293,0.00347900390625,5,False
