fraction,n_keep,seed,lift,routing,mean_delta_top1,mean_delta_best5,pct_top1_changed,coverage_global,coverage_class,coverage_team,coverage_intersection
0.01,8,1008,laplace,M1_global,-0.04663173533205328,-0.026461166320923355,0.4200626959247649,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1008,laplace,M2_team,-0.0013716201470189708,-0.004277666300815474,0.14420062695924765,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1008,laplace,M4_intersection,0.006362935989441169,-0.0001212308959901146,0.06583072100313479,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1008,laplace,M5_backoff2,-0.04911882030926528,-0.04662043893225141,0.28213166144200624,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1008,laplace_eb,M1_global,-0.0639471293640174,-0.04698462321840484,0.49216300940438873,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1008,laplace_eb,M2_team,0.0027425273739058397,-0.011748570213123548,0.1974921630094044,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1008,laplace_eb,M4_intersection,0.010985127693993919,-6.756653606331087e-05,0.09404388714733543,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1008,laplace_eb,M5_backoff2,-0.057960844665859185,-0.061600877807058134,0.34169278996865204,0.751191222570533,0.38990595611285267,0.293448275862069,0.16335423197492163
0.01,8,1009,laplace,M1_global,-0.04551873747317769,-0.030571713436359896,0.3824451410658307,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
0.01,8,1009,laplace,M2_team,-0.002952304519829705,-0.006493556415399414,0.09090909090909091,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
0.01,8,1009,laplace,M4_intersection,-9.091847742612833e-05,2.554143110412789e-05,0.01567398119122257,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
0.01,8,1009,laplace,M5_backoff2,-0.04691448954859497,-0.029292718370132684,0.2445141065830721,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
0.01,8,1009,laplace_eb,M1_global,-0.03921177951753326,-0.04020740967652641,0.4263322884012539,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
0.01,8,1009,laplace_eb,M2_team,-0.009522090721466698,-0.010599601324822835,0.11912225705329153,0.679435736677116,0.2501253918495298,0.1855485893416928,0.07968652037617555
