fraction,n_keep,lift,routing,mean_delta_top1_mean,mean_delta_top1_std,mean_delta_top1_count,mean_delta_best5_mean,mean_delta_best5_std,mean_delta_best5_count,pct_top1_changed_mean,pct_top1_changed_std,pct_top1_changed_count,coverage_global_mean,coverage_global_std,coverage_global_count,coverage_class_mean,coverage_class_std,coverage_class_count,coverage_team_mean,coverage_team_std,coverage_team_count,coverage_intersection_mean,coverage_intersection_std,coverage_intersection_count,mean_delta_top1_ci_low,mean_delta_top1_ci_high,mean_delta_best5_ci_low,mean_delta_best5_ci_high,pct_top1_changed_ci_low,pct_top1_changed_ci_high,coverage_global_ci_low,coverage_global_ci_high,coverage_class_ci_low,coverage_class_ci_high,coverage_team_ci_low,coverage_team_ci_high,coverage_intersection_ci_low,coverage_intersection_ci_high
0.02,17,laplace,M4_intersection,0.008739539122553455,0.003940854652055296,10,0.0037132738339116208,0.0024288022929911976,10,0.1347962382445141,0.03251065660627805,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,0.006296972103433097,0.011182106141673812,0.0022078865764216284,0.005218661091401613,0.11464592451624012,0.15494655197278806,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.02,17,laplace,M5_backoff2,-0.04322549272270225,0.015124022003427539,10,-0.04305668549851564,0.015120230112773206,10,0.45203761755485894,0.022107167467683004,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,-0.0525994586777157,-0.0338515267676888,-0.052428301215352316,-0.03368506978167897,0.43833545319957856,0.4657397819101393,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.02,17,laplace_eb,M1_global,-0.06933039140458391,0.015113579746770278,10,-0.06038557830555685,0.012268717311925335,10,0.5789968652037618,0.047381649826895474,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,-0.07869788518186735,-0.05996289762730047,-0.06798980807774367,-0.052781348533370034,0.5496294143848574,0.6083643160226663,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.02,17,laplace_eb,M2_team,0.0030329489724296014,0.004838601037169228,10,-0.007650950976113168,0.005366237401709155,10,0.2664576802507837,0.046378978100673235,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,3.395297903327271e-05,0.0060319449658259305,-0.010976979376411802,-0.004324922575814533,0.237711691806341,0.2952036686952264,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.02,17,laplace_eb,M4_intersection,0.017653253653486696,0.004807537888163943,10,0.004760978410610211,0.0027662688032801643,10,0.17523510971786832,0.032759912246908184,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,0.01467351079931253,0.020632996507660862,0.003046427243038029,0.006475529578182392,0.15493030574296338,0.19553991369277327,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.02,17,laplace_eb,M5_backoff2,-0.05675225635365726,0.013731372842744338,10,-0.05633743316121983,0.010904321868692174,10,0.4727272727272728,0.027717303519557555,10,0.8946489028213167,0.04694966242991438,10,0.5502068965517242,0.05859919140434107,10,0.4257115987460815,0.059788266602395564,10,0.2770376175548589,0.05323349483377015,10,-0.06526304941613169,-0.04824146329118283,-0.06309600187637138,-0.04957886444606828,0.4555479100221521,0.48990663543239343,0.8655492005650219,0.9237486050776115,0.513886741430876,0.5865270516725724,0.38865444718195996,0.46276875031020304,0.24404315562369694,0.31003207948602085
0.05,43,laplace,M1_global,-0.055962666788585136,0.012822167152220499,10,-0.041641205960306626,0.012257348778467217,10,0.6373040752351098,0.037734926610167176,10,0.9780564263322884,0.0237128589673584,10,0.7505391849529781,0.03292309806054448,10,0.6565203761755486,0.03792416264024654,10,0.4765235109717868,0.04280653367948669,10,-0.06390992832570583,-0.048015405251464444,-0.04923838944245428,-0.03404402247815897,0.6139157254113345,0.660692425058885,0.963359044074733,0.9927538085898437,0.7301332373629011,0.7709451325430551,0.6330147366451712,0.680026015705926,0.4499917465196651,0.5030552754239085
0.05,43,laplace,M2_team,0.002768093750441336,0.008794460741885774,10,-0.009764647289970452,0.001879392016826787,10,0.40344827586206894,0.04756564799440862,10,0.9780564263322884,0.0237128589673584,10,0.7505391849529781,0.03292309806054448,10,0.6565203761755486,0.03792416264024654,10,0.4765235109717868,0.04280653367948669,10,-0.0026827694900681334,0.008218956990950805,-0.01092950653031444,-0.008599788049626463,0.37396678179741527,0.4329297699267226,0.963359044074733,0.9927538085898437,0.7301332373629011,0.7709451325430551,0.6330147366451712,0.680026015705926,0.4499917465196651,0.5030552754239085
0.05,43,laplace,M4_intersection,0.018259345337187982,0.006393245241670549,10,0.004890117067902065,0.0030468067886289312,10,0.26206896551724135,0.04923837045973921,10,0.9780564263322884,0.0237128589673584,10,0.7505391849529781,0.03292309806054448,10,0.6565203761755486,0.03792416264024654,10,0.4765235109717868,0.04280653367948669,10,0.01429677088286032,0.022221919791515644,0.003001686655566062,0.006778547480238069,0.23155070732736746,0.2925872237071152,0.963359044074733,0.9927538085898437,0.7301332373629011,0.7709451325430551,0.6330147366451712,0.680026015705926,0.4499917465196651,0.5030552754239085
0.05,43,laplace,M5_backoff2,-0.029567151138307907,0.01714838616733376,10,-0.03422926424485763,0.018143531837710957,10,0.6006269592476489,0.04203693053822087,10,0.9780564263322884,0.0237128589673584,10,0.7505391849529781,0.03292309806054448,10,0.6565203761755486,0.03792416264024654,10,0.4765235109717868,0.04280653367948669,10,-0.040195831001348305,-0.01893847127526751,-0.04547474178461926,-0.022983786705095998,0.574572199764408,0.6266817187308897,0.963359044074733,0.9927538085898437,0.7301332373629011,0.7709451325430551,0.6330147366451712,0.680026015705926,0.4499917465196651,0.5030552754239085
