feature,direction,threshold,dev_policy,pct_open
lift_max,below,0.06554216867469878,-0.007676410069947418,0.40366530021702435
lift_max,below,-0.021503928170594773,-0.0076971622671251965,0.2001446829033036
lift_std,below,0.08819522628106852,-0.007806026762383284,0.7000241138172173
lift_std,below,0.06599915521344867,-0.008226600026679033,0.500361707258259
max_lift_team,below,0.061052631578947386,-0.008350151526998376,0.3064866168314444
max_lift_global,below,-0.08765714285714288,-0.008369723472799023,0.20352061731372076
lift_frac_negative,below,0.9,-0.008627694662483393,0.6028454304316373
lift_std,below,0.07610148724030669,-0.008875131262104742,0.5999517723655655
lift_frac_negative,below,0.52,-0.008943763218617076,0.3086568603809983
max_lift_team,below,0.13677419354838713,-0.009659954925452423,0.5034965034965035
lift_mean,below,0.0005070413423176592,-0.009663433703401447,0.7000241138172173
max_lift_team,below,0.1,-0.00996698211938725,0.4024596093561611
lift_mean,below,0.022388077697605993,-0.010091920573042477,0.7998553170966964
lift_max,below,0.12000000000000002,-0.010384333250118446,0.5022908126356402
max_lift_intersection,below,0.14000000000000004,-0.01063712219897885,0.4007716421509525
score_lift_corr,below,0.21991178403749934,-0.01066651782961906,0.5999517723655655
semantic_lift_corr,below,0.21991170869327925,-0.01066651782961906,0.5999517723655655
semantic_lift_corr,below,0.3276644187020074,-0.010905181528690036,0.7000241138172173
score_lift_corr,below,0.3276640501300895,-0.010905181528690036,0.7000241138172173
lift_frac_positive,below,0.56,-0.011079163143462033,0.8003375934410417
semantic_lift_corr,below,0.1315530712905901,-0.011251458356056784,0.5001205690860864
score_lift_corr,below,0.1315531880538665,-0.011251458356056784,0.5001205690860864
lift_max,below,0.1604347826086957,-0.011345622758779693,0.6004340487099108
retrieval_margin,below,0.0016210079193115234,-0.011834430049953042,0.2006269592476489
max_lift_class,below,0.17450000000000002,-0.011955789563230127,0.5223052809259706
max_lift_intersection,below,0.1748777777777778,-0.01217980521962618,0.5001205690860864
lift_min,below,-0.15002195375722532,-0.012211797240163033,0.7998553170966964
semantic_lift_corr,below,0.46039939831245913,-0.012292105420680112,0.7998553170966964
score_lift_corr,below,0.46040000188385377,-0.012292105420680112,0.7998553170966964
score_lift_corr,below,0.051592622803338324,-0.012482127174285915,0.40004822763443454
semantic_lift_corr,below,0.051592429993373504,-0.012482127174285915,0.40004822763443454
max_lift_team,below,0.17375431034482758,-0.012488818402020995,0.6009163250542561
lift_min,below,-0.2,-0.012601778972089967,0.7296841089944538
lift_min,below,-0.2,-0.012601778972089967,0.7296841089944538
lift_min,below,-0.2,-0.012601778972089967,0.7296841089944538
lift_min,below,-0.2,-0.012601778972089967,0.7296841089944538
lift_min,below,-0.2,-0.012601778972089967,0.7296841089944538
lift_min,below,-0.2,-0.012601778972089967,0.7296841089944538
lift_std,below,0.10532819268880146,-0.012682187848632124,0.7998553170966964
retrieval_margin,below,0.0587955117225647,-0.013369116328489588,0.8025078369905956
top5_std_score,below,0.05742393723819566,-0.013414224877878071,0.8025078369905956
max_lift_global,below,-0.0724324324324324,-0.013430774642173888,0.31420303834096935
n_candidates,below,100.0,-0.013438702785763246,1.0
n_candidates,below,100.0,-0.013438702785763246,1.0
n_candidates,below,100.0,-0.013438702785763246,1.0
coverage_intersection,below,1.0,-0.013438702785763246,1.0
max_lift_team,below,0.2,-0.013438702785763246,1.0
coverage_intersection,below,1.0,-0.013438702785763246,1.0
n_candidates,below,100.0,-0.013438702785763246,1.0
coverage_global,below,1.0,-0.013438702785763246,1.0
coverage_global,below,1.0,-0.013438702785763246,1.0
coverage_global,below,1.0,-0.013438702785763246,1.0
coverage_global,below,1.0,-0.013438702785763246,1.0
lift_frac_negative,below,1.0,-0.013438702785763246,1.0
lift_max,below,0.2,-0.013438702785763246,1.0
n_top_changed,below,5.0,-0.013438702785763246,1.0
coverage_team,below,1.0,-0.013438702785763246,1.0
coverage_team,below,1.0,-0.013438702785763246,1.0
coverage_team,below,1.0,-0.013438702785763246,1.0
coverage_team,below,1.0,-0.013438702785763246,1.0
coverage_class,below,1.0,-0.013438702785763246,1.0
coverage_class,below,1.0,-0.013438702785763246,1.0
coverage_class,below,1.0,-0.013438702785763246,1.0
max_lift_class,below,0.2,-0.013438702785763246,1.0
max_lift_intersection,below,0.2,-0.013438702785763246,1.0
max_lift_intersection,below,0.2,-0.013438702785763246,1.0
coverage_intersection,below,1.0,-0.013438702785763246,1.0
coverage_intersection,below,1.0,-0.013438702785763246,1.0
max_lift_intersection,below,0.2,-0.013438702785763246,1.0
coverage_team,below,1.0,-0.013438702785763246,1.0
coverage_team,below,1.0,-0.013438702785763246,1.0
coverage_intersection,below,1.0,-0.013438702785763246,1.0
max_lift_team,below,0.2,-0.013438702785763246,1.0
coverage_global,below,1.0,-0.013438702785763246,1.0
coverage_global,below,1.0,-0.013438702785763246,1.0
max_lift_class,below,0.2,-0.013438702785763246,1.0
coverage_class,below,1.0,-0.013438702785763246,1.0
coverage_class,below,1.0,-0.013438702785763246,1.0
coverage_class,below,1.0,-0.013438702785763246,1.0
coverage_class,below,1.0,-0.013438702785763246,1.0
coverage_global,below,1.0,-0.013438702785763246,1.0
n_candidates,below,100.0,-0.013438702785763246,1.0
n_candidates,below,100.0,-0.013438702785763246,1.0
n_candidates,below,100.0,-0.013438702785763246,1.0
intervention_scale,below,1.0,-0.013459715025631066,0.9980708946226188
intervention_scale,below,1.0,-0.013459715025631066,0.9980708946226188
intervention_scale,below,1.0,-0.013459715025631066,0.9980708946226188
intervention_scale,below,1.0,-0.013459715025631066,0.9980708946226188
intervention_scale,below,1.0,-0.013459715025631066,0.9980708946226188
score_lift_corr,below,-0.01948896781794892,-0.014241535118654143,0.29997588618278276
